file,bucket,has_url,has_pdf,reason
"2023_Forbes_Holiday_Cocktail_Guide",FULL,true,false,"real content, prose-ish → good Vinst candidate"
"30_Best_Kombucha_Flavors_Of_All_Time_(DIY_with_Fizz)",FULL,true,false,"partial content → Vinst candidate"
"3_Ingredient_Homemade_Fermented_Ginger_Beer",STUB,true,false,"stub w/ source url → URL import"
"3_Ingredient_Sponge_Cake_-_Biskvit_-_Let_the_Baking_Begin!",FULL,true,false,"partial content → Vinst candidate"
"6_Sourdough_Bread_Rolls_daily",CLEAN,false,false,"structured ingredients + steps present"
"ABC_coctails",PDF,false,true,"content likely in PDF: attachments/ABC_coctails_1/Collectif1806-1950s_HARRY_S_ABC_OF_MIXING_COCKTAILS_FR.pdf"
"Air_Fryer_Baba_Ganoush_Eggplant",CLEAN,false,false,"structured ingredients + steps present"
"Almond_Pecan_Sheet_Cake_-_i_am_baker",STUB,true,false,"stub w/ source url → URL import"
"Ancient_cookies",CLEAN,false,false,"structured ingredients + steps present"
"Apple_Crumble_Recipe",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Apple_Pecan_Coffee_Cake",CLEAN,false,true,"structured ingredients + steps present"
"Apple_cream_pie",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Armenian_perok_cake",CLEAN,true,false,"structured ingredients + steps present"
"Authentic_Hungarian_Goulash_(Gulyás)_-_The_Daring_Gourmet",STUB,true,false,"stub w/ source url → URL import"
"Aviary’s_Bloody_Mary",FULL,false,false,"partial content → Vinst candidate"
"Avocado_brioche_sourdough_bread",FULL,true,false,"partial content → Vinst candidate"
"Banana_peel",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Bazlama_turkish_pita",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Beef_Pot_Pie_-_Good_Dinner_Mom",CLEAN,true,false,"structured ingredients + steps present"
"Beer_Batter_Fish_Made_Great_Recipe_-_Allrecipes.com",CLEAN,true,false,"structured ingredients + steps present"
"Beer_Battered_Onion_Rings_-_melissassouthernstylekitchen.com",FULL,true,false,"partial content → Vinst candidate"
"Best_Basic_Pizza_Dough_Recipe_-_Food_Republic",STUB,true,false,"stub w/ source url → URL import"
"Best_Brownies",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Best_Sourdough_Pizza_Crust_(No_Steel_or_Stone!)_-_The_Clever_Carrot",CLEAN,true,false,"structured ingredients + steps present"
"Biroche_sourdough_buns",CLEAN,false,true,"structured ingredients + steps present"
"Biscotti_Mandelbrot",FULL,false,false,"partial content → Vinst candidate"
"Black_Bean_And_Chocolate_Chili_Recipe_-_Genius_Kitchen",FULL,true,false,"partial content → Vinst candidate"
"Black_Bean_Brownies",FULL,false,false,"partial content → Vinst candidate"
"Black_Bean_Brownies_no_oats",FULL,false,false,"partial content → Vinst candidate"
"Black_Radish,_Endive_and_Apple_Salad_-_The_Washington_Post",STUB,true,false,"stub w/ source url → URL import"
